utterance,expectedIntent,slot[topic],slot[format],slot[localQuery],slot[recommendationQuery],slot[organizationQuery],slot[creatorQuery],slot[speed],slot[time],slot[number],slot[location]
stop,AMAZON.StopIntent,,,,,,,,,,
cancel,AMAZON.CancelIntent,,,,,,,,,,
that's enough for now,AMAZON.CancelIntent,,,,,,,,,,
help,AMAZON.HelpIntent,,,,,,,,,,
what can you do,AMAZON.HelpIntent,,,,,,,,,,
play that again,AMAZON.RepeatIntent,,,,,,,,,,
start from the beginning,AMAZON.StartOverIntent,,,,,,,,,,
take me home,AMAZON.NavigateHomeIntent,,,,,,,,,,
yes please,AMAZON.YesIntent,,,,,,,,,,
no thanks,AMAZON.NoIntent,,,,,,,,,,
play the latest world news,PlayContentIntent,world news,,,,,,,,,
do you have anything on gardening,PlayContentIntent,gardening,,,,,,,,,
play me something about local history,PlayContentIntent,local history,,,,,,,,,
play something new,PlayContentIntent,,,,,,,,,,
start my daily listen,PlayContentIntent,,,,,,,,,,
play from my followed creators,PlayContentIntent,,,,,,,,,,
play a podcast,PlayContentIntent,,podcast,,,,,,,,
play me the newspaper,PlayContentIntent,,newspaper,,,,,,,,
play me some comedy,PlayContentIntent,comedy,,,,,,,,,
do you have any sport,PlayContentIntent,sport,,,,,,,,,
show me poetry,PlayContentIntent,poetry,,,,,,,,,
play local content,PlayLocalIntent,,,,,,,,,,
what's happening near me,PlayLocalIntent,,,,,,,,,,
play content near Manchester,PlayLocalIntent,,,Manchester,,,,,,,
surprise me,PlayRecommendationIntent,,,,,,,,,,
play trending content,PlayRecommendationIntent,,,,,,,,,,
recommend something relaxing,PlayRecommendationIntent,,,,something relaxing,,,,,,
discover jazz,PlayRecommendationIntent,,,,jazz,,,,,,
show me more,ShowMoreBrowseIntent,,,,,,,,,,
what comes next,ShowMoreBrowseIntent,,,,,,,,,,
play content from the BBC,PlayByOrganizationIntent,,,,,the BBC,,,,,
show me recordings from the local council,PlayByOrganizationIntent,,,,,the local council,,,,,
what's this about,WhatsThisAboutIntent,,,,,,,,,,
tell me about this recording,WhatsThisAboutIntent,,,,,,,,,,
play something by Jane Smith,PlayByCreatorIntent,,,,,,Jane Smith,,,,
give me the latest from the gardening club,PlayByCreatorIntent,,,,,,the gardening club,,,,
anything by David Attenborough,PlayByCreatorIntent,,,,,,David Attenborough,,,,
what's new,BrowseContentIntent,,,,,,,,,,
what dropped today,BrowseContentIntent,,,,,,,,,,
what's trending,WhatsTrendingIntent,,,,,,,,,,
what are people listening to,WhatsTrendingIntent,,,,,,,,,,
set playback speed to 2,SetPlaybackSpeedIntent,,,,,,,2,,,
play at 1.5 speed,SetPlaybackSpeedIntent,,,,,,,1.5,,,
normal speed,SetPlaybackSpeedIntent,,,,,,,,,,
speed up,IncreaseSpeedIntent,,,,,,,,,,
play faster,IncreaseSpeedIntent,,,,,,,,,,
slow down,DecreaseSpeedIntent,,,,,,,,,,
play it slower,DecreaseSpeedIntent,,,,,,,,,,
rewind,RewindIntent,,,,,,,,,,
rewind 30 seconds,RewindIntent,,,,,,,,PT30S,,
go back 10,RewindIntent,,,,,,,,,10,
fast forward,FastForwardIntent,,,,,,,,,,
skip ahead 2 minutes,FastForwardIntent,,,,,,,,PT2M,,
jump forward 15,FastForwardIntent,,,,,,,,,15,
that was brilliant,FeedbackEnjoyedIntent,,,,,,,,,,
really enjoyed that,FeedbackEnjoyedIntent,,,,,,,,,,
it was okay,FeedbackSomewhatIntent,,,,,,,,,,
not bad,FeedbackSomewhatIntent,,,,,,,,,,
not for me,FeedbackNotEnjoyedIntent,,,,,,,,,,
that was dull,FeedbackNotEnjoyedIntent,,,,,,,,,,
skip the rating,SkipFeedbackIntent,,,,,,,,,,
I'd rather not say,SkipFeedbackIntent,,,,,,,,,,
turn on notifications,EnableNotificationsIntent,,,,,,,,,,
let me know when there's new content,EnableNotificationsIntent,,,,,,,,,,
turn off notifications,DisableNotificationsIntent,,,,,,,,,,
stop sending me alerts,DisableNotificationsIntent,,,,,,,,,,
do I have any notifications,HearNotificationsIntent,,,,,,,,,,
check my notifications,HearNotificationsIntent,,,,,,,,,,
who made this,WhoIsCreatorIntent,,,,,,,,,,
who am I listening to,WhoIsCreatorIntent,,,,,,,,,,
follow this creator,FollowCreatorIntent,,,,,,,,,,
I want more from this creator,FollowCreatorIntent,,,,,,,,,,
unfollow this creator,UnfollowCreatorIntent,,,,,,,,,,
stop following,UnfollowCreatorIntent,,,,,,,,,,
report this content,ReportContentIntent,,,,,,,,,,
this is inappropriate,ReportContentIntent,,,,,,,,,,
report this creator,ReportCreatorIntent,,,,,,,,,,
next,AMAZON.NextIntent,,,,,,,,,,
previous,AMAZON.PreviousIntent,,,,,,,,,,
what's the weather in Paris,AMAZON.FallbackIntent,,,,,,,,,,
I live in Manchester,SetLocationIntent,,,,,,,,,,Manchester
my town is Norwich,SetLocationIntent,,,,,,,,,,Norwich
Leeds,SetLocationIntent,,,,,,,,,,Leeds
play the latest sport by Alan Ross,PlayContentIntent,sport by Alan Ross,,,,,,,,,
put on some comedy,PlayContentIntent,comedy,,,,,,,,,
change my location to Bristol,SetLocationIntent,,,,,,,,,,Bristol
I've moved to Cardiff,SetLocationIntent,,,,,,,,,,Cardiff
change my location,SetLocationIntent,,,,,,,,,,
